load Latte-XL/2 /root/viewdit/weights/Latte/ffs.pt steps 50 ddim
Using Ema!
closed-loop fit sweep 0 0.18209433587759152
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
seed 4 C02_T1+R1 relL2=0.0995 lpips=0.0178 ffe=15.00
seed 4 C03_T1+R.5 relL2=0.0632 lpips=0.0055 ffe=15.00
seed 4 C04_T1+SC1.25 relL2=0.0806 lpips=0.0078 ffe=15.00
seed 4 C05_T1+SC1.5 relL2=0.0778 lpips=0.0085 ffe=15.00
seed 4 C06_T1+SC1.25+R.5 relL2=0.0571 lpips=0.0049 ffe=15.00
seed 4 C07_T1+S(12F6S) relL2=0.4470 lpips=0.1300 ffe=15.00
seed 4 C08_T1+S(11F8S) relL2=0.4550 lpips=0.1402 ffe=15.00
seed 4 C09_T1+S+R.5 relL2=0.4248 lpips=0.1215 ffe=15.00
seed 4 C10_T2+S+R.5 relL2=0.4233 lpips=0.1204 ffe=15.00
seed 4 C11_T1+S+SC1.25+R.5 relL2=0.3030 lpips=0.0789 ffe=15.00
seed 4 C12_T1+DR(13F14P2) relL2=0.4848 lpips=0.1576 ffe=14.00
seed 4 C13_L_closed relL2=0.1817 lpips=0.0290 ffe=15.00
seed 4 C14_L_closed+R.5 relL2=0.0653 lpips=0.0058 ffe=15.00
seed 5 B1_T1 relL2=0.1931 lpips=0.0146 ffe=15.00
seed 5 B0_reuse_lp relL2=0.3171 lpips=0.0385 ffe=15.00
seed 5 C01_T2 relL2=0.0873 lpips=0.0034 ffe=15.00
seed 5 C02_T1+R1 relL2=0.0904 lpips=0.0141 ffe=15.00
seed 5 C03_T1+R.5 relL2=0.0779 lpips=0.0031 ffe=15.00
seed 5 C04_T1+SC1.25 relL2=0.1443 lpips=0.0103 ffe=15.00
seed 5 C05_T1+SC1.5 relL2=0.1350 lpips=0.0107 ffe=15.00
seed 5 C06_T1+SC1.25+R.5 relL2=0.0834 lpips=0.0037 ffe=15.00
seed 5 C07_T1+S(12F6S) relL2=0.3599 lpips=0.0423 ffe=15.00
seed 5 C08_T1+S(11F8S) relL2=0.3023 lpips=0.0351 ffe=15.00
seed 5 C09_T1+S+R.5 relL2=0.3423 lpips=0.0396 ffe=15.00
seed 5 C10_T2+S+R.5 relL2=0.3644 lpips=0.0420 ffe=15.00
seed 5 C11_T1+S+SC1.25+R.5 relL2=0.2495 lpips=0.0258 ffe=15.00
seed 5 C12_T1+DR(13F14P2) relL2=0.3035 lpips=0.0339 ffe=14.00
seed 5 C13_L_closed relL2=0.2342 lpips=0.0200 ffe=15.00
seed 5 C14_L_closed+R.5 relL2=0.1594 lpips=0.0084 ffe=15.00
seed 6 B1_T1 relL2=0.1156 lpips=0.0169 ffe=15.00
seed 6 B0_reuse_lp relL2=0.1870 lpips=0.0372 ffe=15.00
seed 6 C01_T2 relL2=0.1420 lpips=0.0230 ffe=15.00
seed 6 C02_T1+R1 relL2=0.1468 lpips=0.0330 ffe=15.00
seed 6 C03_T1+R.5 relL2=0.1194 lpips=0.0172 ffe=15.00
seed 6 C04_T1+SC1.25 relL2=0.1109 lpips=0.0158 ffe=15.00
seed 6 C05_T1+SC1.5 relL2=0.1207 lpips=0.0193 ffe=15.00
seed 6 C06_T1+SC1.25+R.5 relL2=0.1058 lpips=0.0141 ffe=15.00
seed 6 C07_T1+S(12F6S) relL2=0.1674 lpips=0.0296 ffe=15.00
seed 6 C08_T1+S(11F8S) relL2=0.1574 lpips=0.0262 ffe=15.00
seed 6 C09_T1+S+R.5 relL2=0.1596 lpips=0.0299 ffe=15.00
seed 6 C10_T2+S+R.5 relL2=0.1525 lpips=0.0302 ffe=15.00
seed 6 C11_T1+S+SC1.25+R.5 relL2=0.1467 lpips=0.0315 ffe=15.00
seed 6 C12_T1+DR(13F14P2) relL2=0.1985 lpips=0.0526 ffe=14.00
seed 6 C13_L_closed relL2=0.0679 lpips=0.0062 ffe=15.00
seed 6 C14_L_closed+R.5 relL2=0.0894 lpips=0.0097 ffe=15.00
seed 7 B1_T1 relL2=0.0945 lpips=0.0075 ffe=15.00
seed 7 B0_reuse_lp relL2=0.2451 lpips=0.0462 ffe=15.00
seed 7 C01_T2 relL2=0.1028 lpips=0.0077 ffe=15.00
seed 7 C02_T1+R1 relL2=0.1145 lpips=0.0186 ffe=15.00
seed 7 C03_T1+R.5 relL2=0.0792 lpips=0.0046 ffe=15.00
seed 7 C04_T1+SC1.25 relL2=0.0993 lpips=0.0082 ffe=15.00
seed 7 C05_T1+SC1.5 relL2=0.1059 lpips=0.0101 ffe=15.00
seed 7 C06_T1+SC1.25+R.5 relL2=0.0754 lpips=0.0044 ffe=15.00
seed 7 C07_T1+S(12F6S) relL2=0.2819 lpips=0.0493 ffe=15.00
seed 7 C08_T1+S(11F8S) relL2=0.3431 lpips=0.0854 ffe=15.00
seed 7 C09_T1+S+R.5 relL2=0.2570 lpips=0.0436 ffe=15.00
seed 7 C10_T2+S+R.5 relL2=0.2285 lpips=0.0339 ffe=15.00
seed 7 C11_T1+S+SC1.25+R.5 relL2=0.1930 lpips=0.0243 ffe=15.00
seed 7 C12_T1+DR(13F14P2) relL2=0.3547 lpips=0.0841 ffe=14.00
seed 7 C13_L_closed relL2=0.0815 lpips=0.0063 ffe=15.00
seed 7 C14_L_closed+R.5 relL2=0.0613 lpips=0.0040 ffe=15.00
seed 8 B1_T1 relL2=0.1470 lpips=0.0273 ffe=15.00
seed 8 B0_reuse_lp relL2=0.5429 lpips=0.1877 ffe=15.00
seed 8 C01_T2 relL2=0.1828 lpips=0.0394 ffe=15.00
seed 8 C02_T1+R1 relL2=0.1675 lpips=0.0411 ffe=15.00
seed 8 C03_T1+R.5 relL2=0.1354 lpips=0.0239 ffe=15.00
seed 8 C04_T1+SC1.25 relL2=0.1645 lpips=0.0339 ffe=15.00
seed 8 C05_T1+SC1.5 relL2=0.1986 lpips=0.0467 ffe=15.00
seed 8 C06_T1+SC1.25+R.5 relL2=0.1046 lpips=0.0156 ffe=15.00
seed 8 C07_T1+S(12F6S) relL2=0.5053 lpips=0.1682 ffe=15.00
seed 8 C08_T1+S(11F8S) relL2=0.4769 lpips=0.1484 ffe=15.00
seed 8 C09_T1+S+R.5 relL2=0.4666 lpips=0.1553 ffe=15.00
seed 8 C10_T2+S+R.5 relL2=0.3846 lpips=0.1185 ffe=15.00
seed 8 C11_T1+S+SC1.25+R.5 relL2=0.3198 lpips=0.0928 ffe=15.00
seed 8 C12_T1+DR(13F14P2) relL2=0.6755 lpips=0.2480 ffe=14.00
seed 8 C13_L_closed relL2=0.3676 lpips=0.1119 ffe=15.00
seed 8 C14_L_closed+R.5 relL2=0.2721 lpips=0.0696 ffe=15.00
seed 9 B1_T1 relL2=0.4857 lpips=0.1648 ffe=15.00
seed 9 B0_reuse_lp relL2=0.3349 lpips=0.0987 ffe=15.00
seed 9 C01_T2 relL2=0.4852 lpips=0.1625 ffe=15.00
seed 9 C02_T1+R1 relL2=0.4916 lpips=0.1838 ffe=15.00
seed 9 C03_T1+R.5 relL2=0.4840 lpips=0.1687 ffe=15.00
seed 9 C04_T1+SC1.25 relL2=0.5100 lpips=0.1855 ffe=15.00
seed 9 C05_T1+SC1.5 relL2=0.5308 lpips=0.2069 ffe=15.00
seed 9 C06_T1+SC1.25+R.5 relL2=0.4645 lpips=0.1566 ffe=15.00
seed 9 C07_T1+S(12F6S) relL2=0.2445 lpips=0.0427 ffe=15.00
seed 9 C08_T1+S(11F8S) relL2=0.4327 lpips=0.1486 ffe=15.00
seed 9 C09_T1+S+R.5 relL2=0.2553 lpips=0.0506 ffe=15.00
seed 9 C10_T2+S+R.5 relL2=0.2743 lpips=0.0515 ffe=15.00
seed 9 C11_T1+S+SC1.25+R.5 relL2=0.4212 lpips=0.1340 ffe=15.00
seed 9 C12_T1+DR(13F14P2) relL2=0.4903 lpips=0.1139 ffe=14.00
seed 9 C13_L_closed relL2=0.1761 lpips=0.0259 ffe=15.00
seed 9 C14_L_closed+R.5 relL2=0.1577 lpips=0.0223 ffe=15.00
seed 10 B1_T1 relL2=0.1067 lpips=0.0055 ffe=15.00
seed 10 B0_reuse_lp relL2=0.1045 lpips=0.0124 ffe=15.00
seed 10 C01_T2 relL2=0.1262 lpips=0.0069 ffe=15.00
seed 10 C02_T1+R1 relL2=0.0911 lpips=0.0152 ffe=15.00
seed 10 C03_T1+R.5 relL2=0.0799 lpips=0.0032 ffe=15.00
seed 10 C04_T1+SC1.25 relL2=0.1061 lpips=0.0051 ffe=15.00
seed 10 C05_T1+SC1.5 relL2=0.1105 lpips=0.0067 ffe=15.00
seed 10 C06_T1+SC1.25+R.5 relL2=0.0780 lpips=0.0036 ffe=15.00
seed 10 C07_T1+S(12F6S) relL2=0.0797 lpips=0.0058 ffe=15.00
seed 10 C08_T1+S(11F8S) relL2=0.2062 lpips=0.0245 ffe=15.00
seed 10 C09_T1+S+R.5 relL2=0.0847 lpips=0.0069 ffe=15.00
seed 10 C10_T2+S+R.5 relL2=0.1048 lpips=0.0081 ffe=15.00
seed 10 C11_T1+S+SC1.25+R.5 relL2=0.0733 lpips=0.0073 ffe=15.00
seed 10 C12_T1+DR(13F14P2) relL2=0.0886 lpips=0.0110 ffe=14.00
seed 10 C13_L_closed relL2=0.0817 lpips=0.0039 ffe=15.00
seed 10 C14_L_closed+R.5 relL2=0.0673 lpips=0.0030 ffe=15.00
seed 11 B1_T1 relL2=0.4633 lpips=0.0908 ffe=15.00
seed 11 B0_reuse_lp relL2=0.6427 lpips=0.2285 ffe=15.00
seed 11 C01_T2 relL2=0.3324 lpips=0.0558 ffe=15.00
seed 11 C02_T1+R1 relL2=0.1613 lpips=0.0322 ffe=15.00
seed 11 C03_T1+R.5 relL2=0.3261 lpips=0.0545 ffe=15.00
seed 11 C04_T1+SC1.25 relL2=0.4560 lpips=0.0886 ffe=15.00
seed 11 C05_T1+SC1.5 relL2=0.4434 lpips=0.0823 ffe=15.00
seed 11 C06_T1+SC1.25+R.5 relL2=0.3500 lpips=0.0601 ffe=15.00
seed 11 C07_T1+S(12F6S) relL2=0.5712 lpips=0.1174 ffe=15.00
seed 11 C08_T1+S(11F8S) relL2=0.5927 lpips=0.1458 ffe=15.00
seed 11 C09_T1+S+R.5 relL2=0.5426 lpips=0.1103 ffe=15.00
seed 11 C10_T2+S+R.5 relL2=0.5207 lpips=0.1026 ffe=15.00
seed 11 C11_T1+S+SC1.25+R.5 relL2=0.5132 lpips=0.1026 ffe=15.00
seed 11 C12_T1+DR(13F14P2) relL2=0.6792 lpips=0.2582 ffe=14.00
seed 11 C13_L_closed relL2=0.5107 lpips=0.1030 ffe=15.00
seed 11 C14_L_closed+R.5 relL2=0.4462 lpips=0.0849 ffe=15.00
seed 12 B1_T1 relL2=0.0603 lpips=0.0033 ffe=15.00
seed 12 B0_reuse_lp relL2=0.1982 lpips=0.0168 ffe=15.00
seed 12 C01_T2 relL2=0.0725 lpips=0.0037 ffe=15.00
seed 12 C02_T1+R1 relL2=0.0856 lpips=0.0147 ffe=15.00
seed 12 C03_T1+R.5 relL2=0.0497 lpips=0.0032 ffe=15.00
seed 12 C04_T1+SC1.25 relL2=0.0625 lpips=0.0034 ffe=15.00
seed 12 C05_T1+SC1.5 relL2=0.0710 lpips=0.0048 ffe=15.00
seed 12 C06_T1+SC1.25+R.5 relL2=0.0497 lpips=0.0035 ffe=15.00
seed 12 C07_T1+S(12F6S) relL2=0.1157 lpips=0.0068 ffe=15.00
seed 12 C08_T1+S(11F8S) relL2=0.1591 lpips=0.0135 ffe=15.00
seed 12 C09_T1+S+R.5 relL2=0.1140 lpips=0.0078 ffe=15.00
seed 12 C10_T2+S+R.5 relL2=0.0976 lpips=0.0067 ffe=15.00
seed 12 C11_T1+S+SC1.25+R.5 relL2=0.1073 lpips=0.0073 ffe=15.00
seed 12 C12_T1+DR(13F14P2) relL2=0.1711 lpips=0.0137 ffe=14.00
seed 12 C13_L_closed relL2=0.0597 lpips=0.0029 ffe=15.00
seed 12 C14_L_closed+R.5 relL2=0.0484 lpips=0.0032 ffe=15.00
seed 13 B1_T1 relL2=0.3132 lpips=0.0247 ffe=15.00
seed 13 B0_reuse_lp relL2=0.6301 lpips=0.1814 ffe=15.00
seed 13 C01_T2 relL2=0.2800 lpips=0.0227 ffe=15.00
seed 13 C02_T1+R1 relL2=0.2700 lpips=0.0282 ffe=15.00
seed 13 C03_T1+R.5 relL2=0.2708 lpips=0.0217 ffe=15.00
seed 13 C04_T1+SC1.25 relL2=0.3196 lpips=0.0263 ffe=15.00
seed 13 C05_T1+SC1.5 relL2=0.3190 lpips=0.0258 ffe=15.00
seed 13 C06_T1+SC1.25+R.5 relL2=0.2772 lpips=0.0226 ffe=15.00
seed 13 C07_T1+S(12F6S) relL2=0.6530 lpips=0.1951 ffe=15.00
seed 13 C08_T1+S(11F8S) relL2=0.6563 lpips=0.1990 ffe=15.00
seed 13 C09_T1+S+R.5 relL2=0.6379 lpips=0.1812 ffe=15.00
seed 13 C10_T2+S+R.5 relL2=0.6363 lpips=0.1734 ffe=15.00
seed 13 C11_T1+S+SC1.25+R.5 relL2=0.5642 lpips=0.0984 ffe=15.00
seed 13 C12_T1+DR(13F14P2) relL2=0.6479 lpips=0.2085 ffe=14.00
seed 13 C13_L_closed relL2=0.4242 lpips=0.0465 ffe=15.00
seed 13 C14_L_closed+R.5 relL2=0.3185 lpips=0.0278 ffe=15.00
seed 14 B1_T1 relL2=0.2941 lpips=0.0464 ffe=15.00
seed 14 B0_reuse_lp relL2=0.3427 lpips=0.1023 ffe=15.00
seed 14 C01_T2 relL2=0.4154 lpips=0.1311 ffe=15.00
seed 14 C02_T1+R1 relL2=0.4306 lpips=0.1557 ffe=15.00
seed 14 C03_T1+R.5 relL2=0.3841 lpips=0.1161 ffe=15.00
seed 14 C04_T1+SC1.25 relL2=0.3212 lpips=0.0678 ffe=15.00
seed 14 C05_T1+SC1.5 relL2=0.3397 lpips=0.0804 ffe=15.00
seed 14 C06_T1+SC1.25+R.5 relL2=0.3239 lpips=0.0620 ffe=15.00
seed 14 C07_T1+S(12F6S) relL2=0.2849 lpips=0.0528 ffe=15.00
seed 14 C08_T1+S(11F8S) relL2=0.3425 lpips=0.0956 ffe=15.00
seed 14 C09_T1+S+R.5 relL2=0.2867 lpips=0.0514 ffe=15.00
seed 14 C10_T2+S+R.5 relL2=0.2909 lpips=0.0549 ffe=15.00
seed 14 C11_T1+S+SC1.25+R.5 relL2=0.1638 lpips=0.0230 ffe=15.00
seed 14 C12_T1+DR(13F14P2) relL2=0.3747 lpips=0.1252 ffe=14.00
seed 14 C13_L_closed relL2=0.1162 lpips=0.0111 ffe=15.00
seed 14 C14_L_closed+R.5 relL2=0.1376 lpips=0.0098 ffe=15.00
seed 15 B1_T1 relL2=0.1480 lpips=0.0105 ffe=15.00
seed 15 B0_reuse_lp relL2=0.4261 lpips=0.0961 ffe=15.00
seed 15 C01_T2 relL2=0.1509 lpips=0.0071 ffe=15.00
seed 15 C02_T1+R1 relL2=0.1484 lpips=0.0195 ffe=15.00
seed 15 C03_T1+R.5 relL2=0.1360 lpips=0.0059 ffe=15.00
seed 15 C04_T1+SC1.25 relL2=0.1515 lpips=0.0104 ffe=15.00
seed 15 C05_T1+SC1.5 relL2=0.1568 lpips=0.0125 ffe=15.00
seed 15 C06_T1+SC1.25+R.5 relL2=0.1344 lpips=0.0064 ffe=15.00
seed 15 C07_T1+S(12F6S) relL2=0.5682 lpips=0.1648 ffe=15.00
seed 15 C08_T1+S(11F8S) relL2=0.4319 lpips=0.1302 ffe=15.00
seed 15 C09_T1+S+R.5 relL2=0.5590 lpips=0.1584 ffe=15.00
seed 15 C10_T2+S+R.5 relL2=0.5667 lpips=0.1564 ffe=15.00
seed 15 C11_T1+S+SC1.25+R.5 relL2=0.3961 lpips=0.0879 ffe=15.00
seed 15 C12_T1+DR(13F14P2) relL2=0.4534 lpips=0.1304 ffe=14.00
seed 15 C13_L_closed relL2=0.1297 lpips=0.0124 ffe=15.00
seed 15 C14_L_closed+R.5 relL2=0.1290 lpips=0.0061 ffe=15.00
