load Latte-XL/2 /root/viewdit/weights/Latte/ffs.pt steps 50 ddim
Using Ema!
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/root/miniconda3/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
seed 2 C_p1.0_w0.25@20 relL2=0.1153 lpips=0.0096 ffe=20.00
seed 2 C_p1.0_w0.5@20 relL2=0.0902 lpips=0.0066 ffe=20.00
seed 2 C_p1.0_w0.75@20 relL2=0.0645 lpips=0.0048 ffe=20.00
seed 2 C_p1.25_w0.25@20 relL2=0.0711 lpips=0.0043 ffe=20.00
seed 2 C_p1.25_w0.5@20 relL2=0.0425 lpips=0.0022 ffe=20.00
seed 2 C_p1.25_w0.75@20 relL2=0.0482 lpips=0.0033 ffe=20.00
seed 2 C_T1+SC1.25@20 relL2=0.0969 lpips=0.0076 ffe=20.00
seed 3 B1_T1@10 relL2=0.1204 lpips=0.0191 ffe=10.00
seed 3 C_p1.0_w0.25@10 relL2=0.0944 lpips=0.0108 ffe=10.00
seed 3 C_p1.0_w0.5@10 relL2=0.1145 lpips=0.0175 ffe=10.00
seed 3 C_p1.0_w0.75@10 relL2=0.1711 lpips=0.0440 ffe=10.00
seed 3 C_p1.25_w0.25@10 relL2=0.1086 lpips=0.0146 ffe=10.00
seed 3 C_p1.25_w0.5@10 relL2=0.1149 lpips=0.0226 ffe=10.00
seed 3 C_p1.25_w0.75@10 relL2=0.1651 lpips=0.0611 ffe=10.00
seed 3 C_T1+SC1.25@10 relL2=0.1442 lpips=0.0244 ffe=10.00
seed 3 B1_T1@15 relL2=0.0777 lpips=0.0086 ffe=15.00
seed 3 C_p1.0_w0.25@15 relL2=0.0724 lpips=0.0064 ffe=15.00
seed 3 C_p1.0_w0.5@15 relL2=0.0730 lpips=0.0071 ffe=15.00
seed 3 C_p1.0_w0.75@15 relL2=0.0791 lpips=0.0109 ffe=15.00
seed 3 C_p1.25_w0.25@15 relL2=0.0655 lpips=0.0059 ffe=15.00
seed 3 C_p1.25_w0.5@15 relL2=0.0668 lpips=0.0068 ffe=15.00
seed 3 C_p1.25_w0.75@15 relL2=0.0773 lpips=0.0118 ffe=15.00
seed 3 C_T1+SC1.25@15 relL2=0.0755 lpips=0.0088 ffe=15.00
seed 3 B1_T1@20 relL2=0.0529 lpips=0.0048 ffe=20.00
seed 3 C_p1.0_w0.25@20 relL2=0.0455 lpips=0.0032 ffe=20.00
seed 3 C_p1.0_w0.5@20 relL2=0.0439 lpips=0.0032 ffe=20.00
seed 3 C_p1.0_w0.75@20 relL2=0.0480 lpips=0.0048 ffe=20.00
seed 3 C_p1.25_w0.25@20 relL2=0.0390 lpips=0.0032 ffe=20.00
seed 3 C_p1.25_w0.5@20 relL2=0.0328 lpips=0.0027 ffe=20.00
seed 3 C_p1.25_w0.75@20 relL2=0.0368 lpips=0.0040 ffe=20.00
seed 3 C_T1+SC1.25@20 relL2=0.0559 lpips=0.0056 ffe=20.00
seed 4 B1_T1@10 relL2=0.2257 lpips=0.0222 ffe=10.00
seed 4 C_p1.0_w0.25@10 relL2=0.2231 lpips=0.0191 ffe=10.00
seed 4 C_p1.0_w0.5@10 relL2=0.2502 lpips=0.0288 ffe=10.00
seed 4 C_p1.0_w0.75@10 relL2=0.3486 lpips=0.0655 ffe=10.00
seed 4 C_p1.25_w0.25@10 relL2=0.3181 lpips=0.0336 ffe=10.00
seed 4 C_p1.25_w0.5@10 relL2=0.3254 lpips=0.0434 ffe=10.00
seed 4 C_p1.25_w0.75@10 relL2=0.3458 lpips=0.0819 ffe=10.00
seed 4 C_T1+SC1.25@10 relL2=0.3186 lpips=0.0375 ffe=10.00
seed 4 B1_T1@15 relL2=0.1471 lpips=0.0105 ffe=15.00
seed 4 C_p1.0_w0.25@15 relL2=0.1352 lpips=0.0083 ffe=15.00
seed 4 C_p1.0_w0.5@15 relL2=0.1297 lpips=0.0090 ffe=15.00
seed 4 C_p1.0_w0.75@15 relL2=0.1391 lpips=0.0139 ffe=15.00
seed 4 C_p1.25_w0.25@15 relL2=0.1325 lpips=0.0082 ffe=15.00
seed 4 C_p1.25_w0.5@15 relL2=0.1311 lpips=0.0099 ffe=15.00
seed 4 C_p1.25_w0.75@15 relL2=0.1383 lpips=0.0151 ffe=15.00
seed 4 C_T1+SC1.25@15 relL2=0.1497 lpips=0.0103 ffe=15.00
seed 4 B1_T1@20 relL2=0.1188 lpips=0.0064 ffe=20.00
seed 4 C_p1.0_w0.25@20 relL2=0.1054 lpips=0.0052 ffe=20.00
seed 4 C_p1.0_w0.5@20 relL2=0.0993 lpips=0.0052 ffe=20.00
seed 4 C_p1.0_w0.75@20 relL2=0.0935 lpips=0.0065 ffe=20.00
seed 4 C_p1.25_w0.25@20 relL2=0.1102 lpips=0.0056 ffe=20.00
seed 4 C_p1.25_w0.5@20 relL2=0.1007 lpips=0.0054 ffe=20.00
seed 4 C_p1.25_w0.75@20 relL2=0.0576 lpips=0.0041 ffe=20.00
seed 4 C_T1+SC1.25@20 relL2=0.1248 lpips=0.0071 ffe=20.00
seed 5 B1_T1@10 relL2=0.4678 lpips=0.0764 ffe=10.00
seed 5 C_p1.0_w0.25@10 relL2=0.4365 lpips=0.0677 ffe=10.00
seed 5 C_p1.0_w0.5@10 relL2=0.4231 lpips=0.0701 ffe=10.00
seed 5 C_p1.0_w0.75@10 relL2=0.4184 lpips=0.0880 ffe=10.00
seed 5 C_p1.25_w0.25@10 relL2=0.3298 lpips=0.0445 ffe=10.00
seed 5 C_p1.25_w0.5@10 relL2=0.3731 lpips=0.0669 ffe=10.00
seed 5 C_p1.25_w0.75@10 relL2=0.4273 lpips=0.1151 ffe=10.00
seed 5 C_T1+SC1.25@10 relL2=0.3161 lpips=0.0412 ffe=10.00
seed 5 B1_T1@15 relL2=0.2310 lpips=0.0230 ffe=15.00
seed 5 C_p1.0_w0.25@15 relL2=0.2483 lpips=0.0274 ffe=15.00
seed 5 C_p1.0_w0.5@15 relL2=0.3290 lpips=0.0401 ffe=15.00
seed 5 C_p1.0_w0.75@15 relL2=0.3524 lpips=0.0493 ffe=15.00
seed 5 C_p1.25_w0.25@15 relL2=0.2679 lpips=0.0312 ffe=15.00
seed 5 C_p1.25_w0.5@15 relL2=0.3401 lpips=0.0428 ffe=15.00
seed 5 C_p1.25_w0.75@15 relL2=0.3649 lpips=0.0516 ffe=15.00
seed 5 C_T1+SC1.25@15 relL2=0.2208 lpips=0.0213 ffe=15.00
seed 5 B1_T1@20 relL2=0.1223 lpips=0.0084 ffe=20.00
seed 5 C_p1.0_w0.25@20 relL2=0.1333 lpips=0.0093 ffe=20.00
seed 5 C_p1.0_w0.5@20 relL2=0.1491 lpips=0.0117 ffe=20.00
seed 5 C_p1.0_w0.75@20 relL2=0.1956 lpips=0.0187 ffe=20.00
seed 5 C_p1.25_w0.25@20 relL2=0.1431 lpips=0.0092 ffe=20.00
seed 5 C_p1.25_w0.5@20 relL2=0.0900 lpips=0.0049 ffe=20.00
seed 5 C_p1.25_w0.75@20 relL2=0.0401 lpips=0.0030 ffe=20.00
seed 5 C_T1+SC1.25@20 relL2=0.1952 lpips=0.0167 ffe=20.00
seed 6 B1_T1@10 relL2=0.2179 lpips=0.0760 ffe=10.00
seed 6 C_p1.0_w0.25@10 relL2=0.1850 lpips=0.0533 ffe=10.00
seed 6 C_p1.0_w0.5@10 relL2=0.0888 lpips=0.0198 ffe=10.00
seed 6 C_p1.0_w0.75@10 relL2=0.2431 lpips=0.1163 ffe=10.00
seed 6 C_p1.25_w0.25@10 relL2=0.2085 lpips=0.0669 ffe=10.00
seed 6 C_p1.25_w0.5@10 relL2=0.3858 lpips=0.1844 ffe=10.00
seed 6 C_p1.25_w0.75@10 relL2=0.6470 lpips=0.3596 ffe=10.00
seed 6 C_T1+SC1.25@10 relL2=0.1599 lpips=0.0543 ffe=10.00
seed 6 B1_T1@15 relL2=0.1140 lpips=0.0257 ffe=15.00
seed 6 C_p1.0_w0.25@15 relL2=0.0637 lpips=0.0071 ffe=15.00
seed 6 C_p1.0_w0.5@15 relL2=0.2892 lpips=0.1210 ffe=15.00
seed 6 C_p1.0_w0.75@15 relL2=0.7436 lpips=0.3816 ffe=15.00
seed 6 C_p1.25_w0.25@15 relL2=0.1879 lpips=0.0594 ffe=15.00
seed 6 C_p1.25_w0.5@15 relL2=0.2753 lpips=0.1139 ffe=15.00
seed 6 C_p1.25_w0.75@15 relL2=0.5051 lpips=0.2606 ffe=15.00
seed 6 C_T1+SC1.25@15 relL2=0.1521 lpips=0.0392 ffe=15.00
seed 6 B1_T1@20 relL2=0.2391 lpips=0.0946 ffe=20.00
seed 6 C_p1.0_w0.25@20 relL2=0.5163 lpips=0.2681 ffe=20.00
seed 6 C_p1.0_w0.5@20 relL2=0.7449 lpips=0.3822 ffe=20.00
seed 6 C_p1.0_w0.75@20 relL2=0.7721 lpips=0.3941 ffe=20.00
seed 6 C_p1.25_w0.25@20 relL2=0.7799 lpips=0.3976 ffe=20.00
seed 6 C_p1.25_w0.5@20 relL2=0.7723 lpips=0.3944 ffe=20.00
seed 6 C_p1.25_w0.75@20 relL2=0.7635 lpips=0.3906 ffe=20.00
